Address,Longitude,Latitude
阳明新城,121.527805,31.275399
松花公寓,121.545267,31.300812
文化名园,121.498061,31.312913
鞍山四村第二小区,121.51498400000001,31.283728999999997
东田公寓,121.535937,31.276374
宝钢又一村,121.51895,31.271665999999996
海鸿公寓,121.52271499999999,31.292864
申通公寓,121.534148,31.273206
韵都城,121.552172,31.295115999999997
市光一村,121.542728,31.322039
浣纱四村,121.539547,31.306835999999997
海杨公寓,121.53541100000001,31.263711999999998
崇业小区,121.543654,31.262281
松花江路95弄,121.549851,31.305139
浣纱五村,121.53892900000001,31.305128000000003
三峰大厦,121.519271,31.278897999999998
浣沙三村,121.54373600000001,31.308326
恒阳花苑,121.515208,31.275097
控江路1455弄,121.53088400000001,31.281938
华升公寓,121.526316,31.280499
广杭苑,121.542566,31.263955
和平花苑,121.513472,31.277403000000003
城市名园,121.54556699999999,31.337049
中环和润苑,121.561935,31.288589
银鹿大厦,121.53971100000001,31.267020000000002
松益公寓,121.53990300000001,31.297421999999997
金鹏花园,121.532765,31.272582
开鲁二村,121.536064,31.32825200000001
台益公寓,121.537241,31.296081
翔殷心秀,121.524791,31.305743
银浦大楼,121.534074,31.264581
开鲁四村,121.536955,31.331913
中环和乐苑,121.561923,31.290352000000002
铁岭路50弄,121.521781,31.285505
建信大楼,121.544275,31.277024
鞍山六村,121.51106100000001,31.280638
吉浦小区,121.497751,31.314498999999998
银杨大厦,121.520973,31.280207
控江四村,121.53155500000001,31.290912
幸福公寓,121.541701,31.278778999999997
凤城五村,121.524367,31.288087
控江路18弄,121.55490400000001,31.296676
石油大楼,121.52033700000001,31.27986
松苑小区,121.53153200000001,31.292825
长阳新家,121.55364099999998,31.283771999999995
宁武小区,121.546857,31.277552000000004
平凉小区,121.56418899999998,31.284562
界龙商务大楼,121.53091,31.262994
新江湾城雍景苑,121.532283,31.338898999999998
怡佳苑,121.545414,31.302332
彰武路120弄,121.519658,31.288956
鹏程苑,121.53955500000001,31.321877
明德公寓,121.525364,31.267808000000002
佳木斯路275号,121.545483,31.303085999999997
工农四村五街坊,121.547097,31.329607
安居花苑,121.556473,31.284209000000004
万佳苑,121.54335,31.300815999999998
宝立公寓,121.533359,31.267075
市光二村,121.54844399999999,31.322684000000002
控江东三村,121.540428,31.292508
锦丽斯公寓,121.52230300000001,31.271966
霍兰公寓,121.533023,31.271355
控江路1197弄,121.534277,31.283795
城市方园,121.542674,31.340525
佳木斯路291号,121.54458999999999,31.302332
鑫隆公寓,121.539606,31.267638
控江二村107弄小区,121.532797,31.28905
延吉四村,121.54513999999999,31.299097999999997
翔殷路505弄,121.54199399999999,31.311634
新翔公寓,121.540221,31.312777
长隆住宅小区,121.54778600000002,31.2796
中原路34弄,121.53976599999999,31.315946000000004
长华绿苑,121.550979,31.298113
百兴花园,121.53962800000001,31.265871
开鲁路286弄,121.542667,31.33287
松花江路123弄,121.54764399999999,31.302443
福阳大厦,121.52898799999998,31.292066
凤城六村,121.523684,31.289642999999998
三门路358弄,121.49853200000001,31.31537800000001
益晖新苑,121.550518,31.296287
邯郸小区,121.49873600000001,31.300915000000003
同济北苑,121.501246,31.316574
中王小区,121.536538,31.275415999999996
双阳大楼,121.538693,31.287817999999998
国和一村,121.53561299999998,31.322403
民星住宅小区,121.54773600000001,31.319763000000002
双阳路50弄,121.544432,31.277869
银河苑,121.54193300000001,31.273729
五彩星辰,121.54892,31.318412
东方名城,121.52821499999999,31.324393
靖宇东路85弄,121.54697,31.297034000000004
包头路902弄,121.54493400000001,31.331436
怡福苑,121.52517900000001,31.29764500000001
樟树缘公寓,121.563184,31.287729
工农二村,121.54183300000001,31.331671000000004
益民小区,121.558467,31.283513
新中源大楼,121.545722,31.277538
双阳公寓,121.539897,31.281839
控江五村,121.53661699999999,31.293491999999997
荣丰花园,121.53733100000001,31.272040000000004
康阳小区,121.532054,31.270222999999998
南茶园,121.52471899999999,31.296561999999998
双阳小区,121.53474399999999,31.294353000000005
民星一村,121.547602,31.319806
北茶园,121.52349099999999,31.298394000000002
江浦路1709弄,121.52381499999998,31.284176000000002
工农四村星源花苑,121.54911399999999,31.330053999999997
纺平大楼小区,121.56391200000002,31.285389000000002
工农四村星源佳苑,121.545492,31.328695
延吉七村,121.53940800000001,31.296052000000003
凤城二村,121.527774,31.284886
海鹏苑,121.553896,31.284423999999998
梅林公寓,121.56173999999999,31.292721000000004
联升大厦,121.542027,31.269038000000002
辽源一村,121.51613,31.276325
国威大厦小区,121.545551,31.280040000000003
